Modality,Hit@5,Prec@5,Recall@5,NDCG@5,MAP@5,Hit@5_W,Prec@5_W,Recall@5_W,NDCG@5_W,MAP@5_W,Hit@10,Prec@10,Recall@10,NDCG@10,MAP@10,Hit@10_W,Prec@10_W,Recall@10_W,NDCG@10_W,MAP@10_W,Hit@15,Prec@15,Recall@15,NDCG@15,MAP@15,Hit@15_W,Prec@15_W,Recall@15_W,NDCG@15_W,MAP@15_W,Hit@20,Prec@20,Recall@20,NDCG@20,MAP@20,Hit@20_W,Prec@20_W,Recall@20_W,NDCG@20_W,MAP@20_W,MRR,MRR_W,factors,regularization,alpha,iterations,time_sec,learning_rate,lambda
ALS+CB lam=0.80,0.006,0.0012,0.006,0.0037,0.0029,0.0619,0.0124,0.0619,0.0317,0.0217,0.0094,0.0009,0.0094,0.0047,0.0033,0.1062,0.0106,0.1062,0.0453,0.0268,0.0128,0.0009,0.0128,0.0057,0.0036,0.1681,0.0112,0.1681,0.0612,0.0314,0.0148,0.0007,0.0148,0.0061,0.0037,0.177,0.0088,0.177,0.0634,0.0319,0.0065,0.0371,,,,,0.0,,0.8
ALS+CB lam=0.90,0.006,0.0012,0.006,0.0037,0.0029,0.0619,0.0124,0.0619,0.0328,0.0232,0.0093,0.0009,0.0093,0.0047,0.0033,0.0885,0.0088,0.0885,0.0414,0.0267,0.0128,0.0009,0.0128,0.0056,0.0036,0.1504,0.01,0.1504,0.0578,0.0315,0.0147,0.0007,0.0147,0.0061,0.0037,0.1593,0.008,0.1593,0.0598,0.032,0.0065,0.0377,,,,,0.0,,0.9
ALS+CB lam=1.00,0.0058,0.0012,0.0058,0.0035,0.0028,0.0088,0.0018,0.0088,0.0044,0.0029,0.009,0.0009,0.009,0.0046,0.0032,0.0354,0.0035,0.0354,0.0128,0.0063,0.0122,0.0008,0.0122,0.0054,0.0035,0.0354,0.0024,0.0354,0.0128,0.0063,0.0141,0.0007,0.0141,0.0059,0.0036,0.0354,0.0018,0.0354,0.0128,0.0063,0.0064,0.0098,,,,,0.0,,1.0
BPR+CB lam=0.00,0.0034,0.0007,0.0034,0.0016,0.001,0.0796,0.0159,0.0796,0.044,0.032,0.0045,0.0004,0.0045,0.002,0.0012,0.1504,0.015,0.1504,0.0658,0.0404,0.0055,0.0004,0.0055,0.0022,0.0013,0.1681,0.0112,0.1681,0.0706,0.0418,0.0077,0.0004,0.0077,0.0027,0.0014,0.1858,0.0093,0.1858,0.0747,0.0428,0.0026,0.0487,,,,,0.0,,0.0
BPR+CB lam=0.05,0.0013,0.0003,0.0013,0.0008,0.0006,0.0796,0.0159,0.0796,0.0446,0.0327,0.0017,0.0002,0.0017,0.0009,0.0006,0.1416,0.0142,0.1416,0.0639,0.0402,0.002,0.0001,0.002,0.001,0.0007,0.1858,0.0124,0.1858,0.0755,0.0436,0.0021,0.0001,0.0021,0.001,0.0007,0.1947,0.0097,0.1947,0.0775,0.0441,0.0011,0.0495,,,,,0.0,,0.05
BPR+CB lam=0.10,0.0012,0.0002,0.0012,0.0007,0.0006,0.0619,0.0124,0.0619,0.0346,0.0254,0.0017,0.0002,0.0017,0.0009,0.0006,0.1416,0.0142,0.1416,0.0592,0.0349,0.0019,0.0001,0.0019,0.0009,0.0006,0.177,0.0118,0.177,0.0685,0.0376,0.002,0.0001,0.002,0.0009,0.0006,0.1858,0.0093,0.1858,0.0706,0.0381,0.0011,0.0436,,,,,0.0,,0.1
BPR+CB lam=0.15,0.0012,0.0002,0.0012,0.0007,0.0005,0.0531,0.0106,0.0531,0.0312,0.0236,0.0016,0.0002,0.0016,0.0008,0.0006,0.115,0.0115,0.115,0.051,0.0316,0.0019,0.0001,0.0019,0.0009,0.0006,0.1681,0.0112,0.1681,0.0652,0.0359,0.002,0.0001,0.002,0.0009,0.0006,0.1858,0.0093,0.1858,0.0694,0.0369,0.0011,0.042,,,,,0.0,,0.15
BPR+CB lam=0.20,0.0011,0.0002,0.0011,0.0007,0.0005,0.0442,0.0088,0.0442,0.0256,0.0192,0.0016,0.0002,0.0016,0.0008,0.0006,0.1239,0.0124,0.1239,0.0515,0.03,0.0018,0.0001,0.0018,0.0009,0.0006,0.1593,0.0106,0.1593,0.061,0.0328,0.0019,0.0001,0.0019,0.0009,0.0006,0.1681,0.0084,0.1681,0.0631,0.0333,0.0011,0.0386,,,,,0.0,,0.2
BPR+CB lam=0.25,0.0011,0.0002,0.0011,0.0007,0.0005,0.0442,0.0088,0.0442,0.0246,0.018,0.0016,0.0002,0.0016,0.0008,0.0006,0.1239,0.0124,0.1239,0.0499,0.0281,0.0018,0.0001,0.0018,0.0009,0.0006,0.1504,0.01,0.1504,0.0568,0.0301,0.0019,0.0001,0.0019,0.0009,0.0006,0.1681,0.0084,0.1681,0.0609,0.0311,0.0011,0.0357,,,,,0.0,,0.25
BPR+CB lam=0.30,0.0012,0.0002,0.0012,0.0007,0.0005,0.0531,0.0106,0.0531,0.028,0.0198,0.0015,0.0002,0.0015,0.0008,0.0006,0.1062,0.0106,0.1062,0.0451,0.0267,0.0017,0.0001,0.0017,0.0008,0.0006,0.1327,0.0088,0.1327,0.052,0.0287,0.0019,0.0001,0.0019,0.0009,0.0006,0.1593,0.008,0.1593,0.0581,0.0301,0.0011,0.0348,,,,,0.0,,0.3
BPR+CB lam=0.40,0.0011,0.0002,0.0011,0.0007,0.0005,0.0442,0.0088,0.0442,0.0234,0.0165,0.0015,0.0001,0.0015,0.0008,0.0006,0.0973,0.0097,0.0973,0.0402,0.0232,0.0016,0.0001,0.0016,0.0008,0.0006,0.1062,0.0071,0.1062,0.0425,0.0239,0.0017,0.0001,0.0017,0.0008,0.0006,0.1239,0.0062,0.1239,0.0468,0.0249,0.001,0.03,,,,,0.0,,0.4
BPR+CB lam=0.50,0.0011,0.0002,0.0011,0.0006,0.0005,0.0442,0.0088,0.0442,0.0211,0.0136,0.0014,0.0001,0.0014,0.0007,0.0005,0.0796,0.008,0.0796,0.0324,0.0182,0.0015,0.0001,0.0015,0.0008,0.0005,0.0973,0.0065,0.0973,0.0369,0.0194,0.0017,0.0001,0.0017,0.0008,0.0005,0.115,0.0058,0.115,0.0412,0.0205,0.001,0.0247,,,,,0.0,,0.5
BPR+CB lam=0.60,0.001,0.0002,0.001,0.0006,0.0005,0.0265,0.0053,0.0265,0.0134,0.0091,0.0013,0.0001,0.0013,0.0007,0.0005,0.0619,0.0062,0.0619,0.0251,0.0141,0.0014,0.0001,0.0014,0.0007,0.0005,0.0619,0.0041,0.0619,0.0251,0.0141,0.0015,0.0001,0.0015,0.0007,0.0005,0.0885,0.0044,0.0885,0.0316,0.0157,0.001,0.0197,,,,,0.0,,0.6
BPR+CB lam=0.70,0.001,0.0002,0.001,0.0006,0.0005,0.0265,0.0053,0.0265,0.0138,0.0096,0.0013,0.0001,0.0013,0.0007,0.0005,0.0531,0.0053,0.0531,0.0226,0.0133,0.0014,0.0001,0.0014,0.0007,0.0005,0.0708,0.0047,0.0708,0.0272,0.0146,0.0014,0.0001,0.0014,0.0007,0.0005,0.0708,0.0035,0.0708,0.0272,0.0146,0.001,0.0176,,,,,0.0,,0.7
BPR+CB lam=0.80,0.001,0.0002,0.001,0.0006,0.0005,0.0265,0.0053,0.0265,0.0156,0.0118,0.0013,0.0001,0.0013,0.0007,0.0005,0.0531,0.0053,0.0531,0.0245,0.0156,0.0014,0.0001,0.0014,0.0007,0.0005,0.0619,0.0041,0.0619,0.0268,0.0163,0.0014,0.0001,0.0014,0.0007,0.0005,0.0619,0.0031,0.0619,0.0268,0.0163,0.001,0.0188,,,,,0.0,,0.8
BPR+CB lam=0.90,0.001,0.0002,0.001,0.0006,0.0005,0.0177,0.0035,0.0177,0.0112,0.0088,0.0011,0.0001,0.0011,0.0006,0.0005,0.0265,0.0027,0.0265,0.0143,0.0103,0.0014,0.0001,0.0014,0.0007,0.0005,0.0619,0.0041,0.0619,0.0239,0.0133,0.0014,0.0001,0.0014,0.0007,0.0005,0.0619,0.0031,0.0619,0.0239,0.0133,0.001,0.0152,,,,,0.0,,0.9
BPR+CB lam=1.00,0.0949,0.019,0.0949,0.0948,0.0948,0.0265,0.0053,0.0265,0.0128,0.0084,0.095,0.0095,0.095,0.0949,0.0948,0.0442,0.0044,0.0442,0.018,0.0103,0.095,0.0063,0.095,0.0949,0.0948,0.0531,0.0035,0.0531,0.0203,0.0109,0.095,0.0048,0.095,0.0949,0.0948,0.0531,0.0027,0.0531,0.0203,0.0109,0.0951,0.0127,,,,,0.0,,1.0
