Modality,Hit@5,Prec@5,Recall@5,NDCG@5,MAP@5,Hit@5_W,Prec@5_W,Recall@5_W,NDCG@5_W,MAP@5_W,Hit@10,Prec@10,Recall@10,NDCG@10,MAP@10,Hit@10_W,Prec@10_W,Recall@10_W,NDCG@10_W,MAP@10_W,Hit@15,Prec@15,Recall@15,NDCG@15,MAP@15,Hit@15_W,Prec@15_W,Recall@15_W,NDCG@15_W,MAP@15_W,Hit@20,Prec@20,Recall@20,NDCG@20,MAP@20,Hit@20_W,Prec@20_W,Recall@20_W,NDCG@20_W,MAP@20_W,MRR,MRR_W,time_sec
MLP Fusion (BCE),0.0014,0.0003,0.0014,0.0008,0.0006,0.0619,0.0124,0.0619,0.0346,0.0254,0.0024,0.0002,0.0024,0.0011,0.0007,0.0973,0.0097,0.0973,0.0456,0.0297,0.0045,0.0003,0.0045,0.0016,0.0009,0.115,0.0077,0.115,0.0504,0.0311,0.0053,0.0003,0.0053,0.0018,0.0009,0.1239,0.0062,0.1239,0.0524,0.0316,0.0021,0.0337,385.5697
Contrastive Fusion,0.0004,0.0001,0.0004,0.0002,0.0001,0.0442,0.0088,0.0442,0.0222,0.015,0.0009,0.0001,0.0009,0.0003,0.0002,0.0973,0.0097,0.0973,0.0387,0.0214,0.0012,0.0001,0.0012,0.0004,0.0002,0.0973,0.0065,0.0973,0.0387,0.0214,0.0015,0.0001,0.0015,0.0005,0.0002,0.115,0.0058,0.115,0.0429,0.0224,0.0007,0.0269,0.2736
